"shannonmelissa","Rhonda Crawford","A+ ","6722 Price Spur New Brianfort, PW 90025","Day Inc","36564 Miller Wells Apt. 842 South Krystalstad, MO 56383-1269","2002-10-18","F","Geologist, wellsite","291-52-1826","jason04@hotmail.com",638530
"nicole48","Danielle Nunez","A- ","2905 Francis Cliffs Apt. 205 Danielleville, VT 33770","Smith, Jensen and Martinez","1850 Stewart Lakes Port Michael, LA 56862-4709","1988-01-25","F","Scientist, clinical (histocompatibility and immunogenetics)","720-25-9125","mark16@gmail.com",638531
"wallacemegan","Erin Smith","AB-","90824 Lyons Falls Apt. 036 North Ashleyfurt, LA 55963","Green, Hill and Roberts","5383 Livingston Bypass Martinton, ME 38789-6689","1995-08-11","F","Artist","693-14-7887","leachsteven@hotmail.com",638532
"fcannon","Dr. Catherine Mercer","A- ","990 Harrell Stravenue Apt. 206 Meganport, RI 86165-0598","Bowman-Bell","7011 Juan Manor South Nathan, DE 19021","1988-07-27","F","Photographer","299-22-0998","duarteoscar@gmail.com",638533
"calebchandler","Mary Jefferson","B+ ","6037 Abigail Park West Theodoreburgh, MN 59130-9794","Joseph-Lee","6622 Theodore Forks Apt. 752 Teresaberg, AS 83831","2012-07-04","F","Commercial art gallery manager","691-30-9703","tiffany42@gmail.com",638534
"farmerthomas","Christina Whitehead","B+ ","02521 Elizabeth Landing Jasonmouth, IA 21885","Perry-Wilson","6969 Holly Oval Apt. 551 East Jennifer, LA 60000","1976-01-09","F","Mental health nurse","598-16-9959","deborah05@yahoo.com",638535
"ggarrett","Evan Lowery","0- ","3629 Hardin Cliff New Matthew, MI 50084-9806","Stewart, Jones and Adams","37813 Megan Island North Maxwell, MN 45683","1980-06-13","M","Television floor manager","601-68-8866","gmccarthy@hotmail.com",638536
"joshuadouglas","Jacqueline Mcdaniel","AB+","5703 Liu River Suite 458 Mindyland, OH 83783-1115","Mejia Ltd","697 Warren Land Apt. 471 Hawkinsside, ID 56190","1982-08-15","F","Environmental health practitioner","713-24-8945","jessica08@hotmail.com",638537
"fhoward","Tanya Kerr","0+ ","271 Michelle Harbor West Andrewfurt, ME 69737","Graves and Sons","781 Matthew Gateway Lake Bonniehaven, FM 74951-1933","1980-01-14","F","Statistician","291-44-0492","yallen@hotmail.com",638538
"julie64","Miguel Greer","0+ ","654 Jackson Mountain East Juliamouth, MN 98222-2775","Hopkins-Daniels","7536 Cheryl Drive Apt. 851 South Timothy, FM 36433","1985-10-27","M","Patent examiner","035-09-5607","dustin42@yahoo.com",638539
